Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Region,Samut Prakan Province, Transferring population,"4,986","5,275","3,448","6,579","6,924","7,470","7,746","7,906",691,557,
Central Region,Nonthaburi Province,Total,"1,141,673","1,156,271","1,173,870","1,193,711","1,211,924","1,229,735","1,246,295","1,265,387","1,276,745","1,288,637","1,295,916"
Central Region,Nonthaburi Province,0 - 4,"60,178","59,843","59,624","59,474","58,465","56,755","55,280","54,057","52,514","50,234","49,958"
Central Region,Nonthaburi Province,5-Sep,"64,194","64,113","63,811","63,331","63,847","64,252","64,159","63,913","63,421","61,716","64,412"
Central Region,Nonthaburi Province,Oct-14,"66,441","65,433","65,545","65,331","65,643","66,303","66,370","66,300","65,700","65,838","66,930"
Central Region,Nonthaburi Province,15  -  19,"78,651","78,144","76,423","74,232","71,318","68,609","67,490","67,621","67,557","67,857","68,732"
Central Region,Nonthaburi Province,20  -  24,"68,871","70,959","73,471","76,089","78,668","80,060","79,581","78,356","76,519","73,421","70,732"
Central Region,Nonthaburi Province,25  -  29,"73,555","72,033","72,152","73,217","75,752","79,245","81,953","84,776","87,849","90,425","91,830"
Central Region,Nonthaburi Province,30  -  34,"95,507","94,158","92,194","89,971","88,376","85,723","85,022","86,164","87,595","89,907","94,315"
Central Region,Nonthaburi Province,35  -  39,"99,677","100,527","101,856","103,669","104,302","104,342","104,418","103,521","101,515","99,743","97,460"
Central Region,Nonthaburi Province,40  -  44,"104,825","103,370","102,612","102,352","102,107","102,800","104,384","106,387","108,645","109,551","110,668"
Central Region,Nonthaburi Province,45  -  49,"101,202","102,735","103,148","103,287","105,148","105,151","103,811","103,466","103,384","103,091","104,746"
Central Region,Nonthaburi Province,50  -  54,"88,720","91,764","95,315","97,909","99,675","100,927","102,561","102,982","102,781","104,407","104,863"
